Item,Subtype,Type
Padded Armor,Armor,Arms and Armor
Leather Armor,Armor,Arms and Armor
Studded Leather Armor,Armor,Arms and Armor
Chain Shirt,Armor,Arms and Armor
Hide Armor,Armor,Arms and Armor
Scale Mail,Armor,Arms and Armor
Chainmail,Armor,Arms and Armor
Breastplate,Armor,Arms and Armor
Splint Mail,Armor,Arms and Armor
Banded Mail,Armor,Arms and Armor
Half-Plate,Armor,Arms and Armor
Full Plate,Armor,Arms and Armor
Adamantine Breastplate,Armor,Arms and Armor
Banded Mail of Luck,Armor,Arms and Armor
Breastplate of Command,Armor,Arms and Armor
Celestial Armor,Armor,Arms and Armor
Demon Armor,Armor,Arms and Armor
Dwarven Plate,Armor,Arms and Armor
Dragonhide Plate,Armor,Arms and Armor
Elven Chain,Armor,Arms and Armor
Mithral Full Plate of Speed,Armor,Arms and Armor
Mithral Shirt,Armor,Arms and Armor
Plate Armor of the Deep,Armor,Arms and Armor
Rhino Hide,Armor,Arms and Armor
Arrow,Ammunition,Arms and Armor
Bolt,Ammunition,Arms and Armor
Repeating Bolt,Ammunition,Arms and Armor
Bullet,Ammunition,Arms and Armor
Blowgun Dart,Ammunition,Arms and Armor
Screaming Bolt,Ammunition,Arms and Armor
Slaying Arrow,Ammunition,Arms and Armor
Greater Slaying Arrow,Ammunition,Arms and Armor
Sleep Arrow,Ammunition,Arms and Armor
Padded Barding,Barding,Arms and Armor
Leather Barding,Barding,Arms and Armor
Studded Leather Barding,Barding,Arms and Armor
Chain Shirt Barding,Barding,Arms and Armor
Hide Barding,Barding,Arms and Armor
Scale Mail Barding,Barding,Arms and Armor
Chainmail Barding,Barding,Arms and Armor
Breastplate Barding,Barding,Arms and Armor
Splint Mail Barding,Barding,Arms and Armor
Banded Mail Barding,Barding,Arms and Armor
Half-Plate Barding,Barding,Arms and Armor
Full Plate Barding,Barding,Arms and Armor
Gauntlet,Melee Weapon,Arms and Armor
Dagger,Melee Weapon,Arms and Armor
Punching Dagger,Melee Weapon,Arms and Armor
Spiked Gauntlet,Melee Weapon,Arms and Armor
Light Mace,Melee Weapon,Arms and Armor
Sickle,Melee Weapon,Arms and Armor
Club,Melee Weapon,Arms and Armor
Heavy Mace,Melee Weapon,Arms and Armor
Morningstar,Melee Weapon,Arms and Armor
Shortspear,Melee Weapon,Arms and Armor
Longspear,Melee Weapon,Arms and Armor
Quarterstaff,Melee Weapon,Arms and Armor
Spear,Melee Weapon,Arms and Armor
Throwing Axe,Melee Weapon,Arms and Armor
Light Hammer,Melee Weapon,Arms and Armor
Handaxe,Melee Weapon,Arms and Armor
Kukri,Melee Weapon,Arms and Armor
Light Pick,Melee Weapon,Arms and Armor
Sap,Melee Weapon,Arms and Armor
Spiked Armor,Melee Weapon,Arms and Armor
Starknife,Melee Weapon,Arms and Armor
Short Sword,Melee Weapon,Arms and Armor
Battleaxe,Melee Weapon,Arms and Armor
Light Flail,Melee Weapon,Arms and Armor
Longsword,Melee Weapon,Arms and Armor
Heavy Pick,Melee Weapon,Arms and Armor
Rapier,Melee Weapon,Arms and Armor
Scimitar,Melee Weapon,Arms and Armor
Trident,Melee Weapon,Arms and Armor
Warhammer,Melee Weapon,Arms and Armor
Falchion,Melee Weapon,Arms and Armor
Glaive,Melee Weapon,Arms and Armor
Greataxe,Melee Weapon,Arms and Armor
Greatclub,Melee Weapon,Arms and Armor
Heavy Flail,Melee Weapon,Arms and Armor
Greatsword,Melee Weapon,Arms and Armor
Guisarme,Melee Weapon,Arms and Armor
Halberd,Melee Weapon,Arms and Armor
Lance,Melee Weapon,Arms and Armor
Ranseur,Melee Weapon,Arms and Armor
Scythe,Melee Weapon,Arms and Armor
Kama,Melee Weapon,Arms and Armor
Nunchaku,Melee Weapon,Arms and Armor
Sai,Melee Weapon,Arms and Armor
Siangham,Melee Weapon,Arms and Armor
Bastard Sword,Melee Weapon,Arms and Armor
Dwarven Waraxe,Melee Weapon,Arms and Armor
Whip,Melee Weapon,Arms and Armor
Orc Double Axe,Melee Weapon,Arms and Armor
Spiked Chain,Melee Weapon,Arms and Armor
Elven Curve Blade,Melee Weapon,Arms and Armor
Dire Flail,Melee Weapon,Arms and Armor
Gnome Hooked Hammer,Melee Weapon,Arms and Armor
Two-Bladed Sword,Melee Weapon,Arms and Armor
Dwarven Urgrosh,Melee Weapon,Arms and Armor
Dagger (Punching),Melee Weapon,Arms and Armor
Gauntlet (Spiked),Melee Weapon,Arms and Armor
Mace (Light),Melee Weapon,Arms and Armor
Mace (Heavy),Melee Weapon,Arms and Armor
Axe (Throwing),Melee Weapon,Arms and Armor
Hammer (Light),Melee Weapon,Arms and Armor
Pick (Light),Melee Weapon,Arms and Armor
Sword (Short),Melee Weapon,Arms and Armor
Flail,Melee Weapon,Arms and Armor
Pick (Heavy),Melee Weapon,Arms and Armor
Flail (Heavy),Melee Weapon,Arms and Armor
Nunchaku (Metal),Melee Weapon,Arms and Armor
Sword (Bastard),Melee Weapon,Arms and Armor
Waraxe (Dwarven),Melee Weapon,Arms and Armor
Axe (Orc Double),Melee Weapon,Arms and Armor
Chain (Spiked),Melee Weapon,Arms and Armor
Curve Blade (Elven),Melee Weapon,Arms and Armor
Flail (Dire),Melee Weapon,Arms and Armor
Hammer (Gnome Hooked),Melee Weapon,Arms and Armor
Sword (Two-Bladed),Melee Weapon,Arms and Armor
Urgrosh (Dwarven),Melee Weapon,Arms and Armor
Battleaxe (Adamantine),Melee Weapon,Arms and Armor
Dagger (Adamantine),Melee Weapon,Arms and Armor
Dagger (Assassin's),Melee Weapon,Arms and Armor
Dagger of Venom,Melee Weapon,Arms and Armor
Dwarven Thrower,Melee Weapon,Arms and Armor
Flame Tongue,Melee Weapon,Arms and Armor
Frost Brand,Melee Weapon,Arms and Armor
Holy Avenger,Melee Weapon,Arms and Armor
Life-Drinker,Melee Weapon,Arms and Armor
Longsword (Cold Iron/Masterwork),Melee Weapon,Arms and Armor
Luck Blade (0 wishes),Melee Weapon,Arms and Armor
Luck Blade (1 wish),Melee Weapon,Arms and Armor
Luck Blade (2 wishes),Melee Weapon,Arms and Armor
Luck Blade (3 wishes),Melee Weapon,Arms and Armor
Mace of Smiting,Melee Weapon,Arms and Armor
Mace of Terror,Melee Weapon,Arms and Armor
Nine Lives Stealer,Melee Weapon,Arms and Armor
Rapier of Puncturing,Melee Weapon,Arms and Armor
Shatterspike,Melee Weapon,Arms and Armor
Shifter's Sorrow,Melee Weapon,Arms and Armor
Dagger (Silver/Masterwork),Melee Weapon,Arms and Armor
Sun Blade (Bastard),Melee Weapon,Arms and Armor
Sun Blade (Short),Melee Weapon,Arms and Armor
Sword of Life Stealing,Melee Weapon,Arms and Armor
Sword of the Planes,Melee Weapon,Arms and Armor
Sword of Subtlety,Melee Weapon,Arms and Armor
Sylvan Scimitar,Melee Weapon,Arms and Armor
Trident of Fish Command,Melee Weapon,Arms and Armor
Trident of Warning,Melee Weapon,Arms and Armor
Mattock of the Titans,Melee Weapon,Arms and Armor
Maul of the Titans,Melee Weapon,Arms and Armor
Axe of the Dwarvish Lords,Melee Weapon,Arms and Armor
Blowgun,Ranged Weapons,Arms and Armor
Heavy Crossbow,Ranged Weapons,Arms and Armor
Light Crossbow,Ranged Weapons,Arms and Armor
Dart,Ranged Weapons,Arms and Armor
Javelin,Ranged Weapons,Arms and Armor
Sling,Ranged Weapons,Arms and Armor
Longbow,Ranged Weapons,Arms and Armor
Composite Longbow,Ranged Weapons,Arms and Armor
Shortbow,Ranged Weapons,Arms and Armor
Composite Shortbow,Ranged Weapons,Arms and Armor
Bolas,Ranged Weapons,Arms and Armor
Hand Crossbow,Ranged Weapons,Arms and Armor
Repeating Heavy Crossbow,Ranged Weapons,Arms and Armor
Repeating Light Crossbow,Ranged Weapons,Arms and Armor
Net,Ranged Weapons,Arms and Armor
Shuriken,Ranged Weapons,Arms and Armor
Halfling Sling Staff,Ranged Weapons,Arms and Armor
Crossbow (Heavy),Ranged Weapons,Arms and Armor
Crossbow (Light),Ranged Weapons,Arms and Armor
Longbow (Composite),Ranged Weapons,Arms and Armor
Longbow (Composite +0),Ranged Weapons,Arms and Armor
Shortbow (Composite),Ranged Weapons,Arms and Armor
Shortbow (Composite +0),Ranged Weapons,Arms and Armor
Crossbow (Hand),Ranged Weapons,Arms and Armor
Crossbow (Repeating Heavy),Ranged Weapons,Arms and Armor
Crossbow (Repeating Light),Ranged Weapons,Arms and Armor
Sling Staff (Halfling),Ranged Weapons,Arms and Armor
Javelin of Lightning,Ranged Weapons,Arms and Armor
Oathbow,Ranged Weapons,Arms and Armor
Buckler,Shield,Arms and Armor
Light Wooden Shield,Shield,Arms and Armor
Light Steel Shield,Shield,Arms and Armor
Heavy Wooden Shield,Shield,Arms and Armor
Heavy Steel Shield,Shield,Arms and Armor
Tower Shield,Shield,Arms and Armor
Absorbing Shield,Shield,Arms and Armor
Caster's Shield,Shield,Arms and Armor
Darkwood Buckler,Shield,Arms and Armor
Darkwood Shield,Shield,Arms and Armor
Lion's Shield,Shield,Arms and Armor
Mithral Heavy Shield,Shield,Arms and Armor
Spined Shield,Shield,Arms and Armor
Winged Shield,Shield,Arms and Armor
Backpack,Adventuring Gear,General
Barrel,Adventuring Gear,General
Basket,Adventuring Gear,General
Bedroll,Adventuring Gear,General
Bell,Adventuring Gear,General
Blanket (Winter),Adventuring Gear,General
Block and Tackle,Adventuring Gear,General
Bottle (Glass),Adventuring Gear,General
Bucket,Adventuring Gear,General
Caltrops,Adventuring Gear,General
Candle,Adventuring Gear,General
Canvas (sq yd),Adventuring Gear,General
Scroll Case,Adventuring Gear,General
Map Case,Adventuring Gear,General
Chain (10 ft),Adventuring Gear,General
Chalk (1 Piece),Adventuring Gear,General
Chest,Adventuring Gear,General
Crowbar,Adventuring Gear,General
Firewood (Per Day),Adventuring Gear,General
Fishhook,Adventuring Gear,General
Fishing Net (25 sq ft),Adventuring Gear,General
Flask,Adventuring Gear,General
Flint and Steel,Adventuring Gear,General
Grappling Hook,Adventuring Gear,General
Hammer,Adventuring Gear,General
Hourglass,Adventuring Gear,General
Ink (1 oz Vial),Adventuring Gear,General
Ink (Color/1 oz Vial),Adventuring Gear,General
Inkpen,Adventuring Gear,General
Jug (Clay),Adventuring Gear,General
Ladder (10 ft),Adventuring Gear,General
Lamp (Common),Adventuring Gear,General
Lantern (Bullseye),Adventuring Gear,General
Lantern (Hooded),Adventuring Gear,General
Lock (Simple),Adventuring Gear,General
Lock (Average),Adventuring Gear,General
Lock (Good),Adventuring Gear,General
Lock (Superior),Adventuring Gear,General
Manacles (Small),Adventuring Gear,General
Manacles (Medium),Adventuring Gear,General
Manacles (Large),Adventuring Gear,General
Manacles (Huge),Adventuring Gear,General
Manacles (Masterwork/Small),Adventuring Gear,General
Manacles (Masterwork/Medium),Adventuring Gear,General
Manacles (Masterwork/Large),Adventuring Gear,General
Manacles (Masterwork/Huge),Adventuring Gear,General
Mirror (Small/Steel),Adventuring Gear,General
Mug (Clay),Adventuring Gear,General
Tankard,Adventuring Gear,General
Oil (1 Pint Flask),Adventuring Gear,General
Paper (Sheet),Adventuring Gear,General
Parchment (Sheet),Adventuring Gear,General
Pick (Miner's),Adventuring Gear,General
Pitcher (Clay),Adventuring Gear,General
Piton,Adventuring Gear,General
Pole (10 ft),Adventuring Gear,General
Pot (Iron),Adventuring Gear,General
Pouch (Belt),Adventuring Gear,General
Ram (Portable),Adventuring Gear,General
Rations (Trail/Per Day),Adventuring Gear,General
Rope (Hemp/50 ft),Adventuring Gear,General
Rope (Silk/50 ft),Adventuring Gear,General
Sack,Adventuring Gear,General
Sealing Wax,Adventuring Gear,General
Sewing Needle,Adventuring Gear,General
Shovel,Adventuring Gear,General
Spade,Adventuring Gear,General
Signal Whistle,Adventuring Gear,General
Signet Ring,Adventuring Gear,General
Sledge,Adventuring Gear,General
Soap,Adventuring Gear,General
Spyglass,Adventuring Gear,General
Tent (Small),Adventuring Gear,General
Torch,Adventuring Gear,General
Vial,Adventuring Gear,General
Water Clock,Adventuring Gear,General
Waterskin,Adventuring Gear,General
Waterskin (Filled),Adventuring Gear,General
Whetstone,Adventuring Gear,General
Artisan's Outfit,Clothing,General
Cleric's Vestments,Clothing,General
Cold-Weather Outfit,Clothing,General
Courtier's Outfit,Clothing,General
Entertainer's Outfit,Clothing,General
Explorer's Outfit,Clothing,General
Monk's Outfit,Clothing,General
Noble's Outfit,Clothing,General
Peasant's Outfit,Clothing,General
Royal Outfit,Clothing,General
Scholar's Outfit,Clothing,General
Traveler's Outfit,Clothing,General
Agate,Gem,General
Azurite,Gem,General
"Quartz, Blue",Gem,General
Hematite,Gem,General
Lapis Lazuli,Gem,General
Malachite,Gem,General
Obsidian,Gem,General
Rhodochrosite,Gem,General
Tigereye,Gem,General
Turquoise,Gem,General
Irregular Freshwater Pearl,Gem,General
Bloodstone,Gem,General
Carnelian,Gem,General
Chalcedony,Gem,General
Chrysoprase,Gem,General
Citrine,Gem,General
Jasper,Gem,General
Moonstone,Gem,General
Onyx,Gem,General
Peridot,Gem,General
Rock Crystal (Clear Quartz),Gem,General
Sard,Gem,General
Sardonyx,Gem,General
Rose Quartz,Gem,General
Smoky Quartz,Gem,General
Star Rose Quartz,Gem,General
Zircon,Gem,General
Amber,Gem,General
Amethyst,Gem,General
Chrysoberyl,Gem,General
Coral,Gem,General
Red Garnet,Gem,General
Brown-Green Garnet,Gem,General
Jade,Gem,General
Jet,Gem,General
White Pearl,Gem,General
Golden Pearl,Gem,General
Pink Pearl,Gem,General
Silver Pearl,Gem,General
Red Spinel,Gem,General
Red-Brown Spinel,Gem,General
Deep Green Spinel,Gem,General
Tourmaline,Gem,General
Alexandrite,Gem,General
Aquamarine,Gem,General
Violet Garnet,Gem,General
Black Pearl,Gem,General
Deep Blue Spinel,Gem,General
Golden Yellow Topaz,Gem,General
Emerald,Gem,General
White Opal,Gem,General
Black Opal,Gem,General
Fire Opal,Gem,General
Blue Sapphire,Gem,General
Fiery Yellow Corundum,Gem,General
Rich Purple Corundum,Gem,General
Blue Star Sapphire,Gem,General
Black Star Sapphire,Gem,General
Clearest Bright Green Emerald,Gem,General
Diamond,Gem,General
Jacinth,Gem,General
Ruby,Gem,General
"Amber Dust (worth 1,000 gp)",Material Components,General
Crushed Black Pearl (worth 500 gp),Material Components,General
Crushed Jade (worth 250 gp),Material Components,General
"Crushed Pearls (worth 1,500 gp)",Material Components,General
"Diamond (worth 1,000 gp)",Material Components,General
"Diamond (worth 10,000 gp)",Material Components,General
"Diamond (worth 1,500 gp)",Material Components,General
"Diamond (worth 25,000 gp)",Material Components,General
Diamond (worth 500 gp),Material Components,General
"Diamond (worth 5,000 gp)",Material Components,General
Diamond Dust (worth 100 gp),Material Components,General
"Diamond Dust (worth 1,000 gp)",Material Components,General
Diamond Dust (worth 200 gp),Material Components,General
Diamond Dust (worth 250 gp),Material Components,General
"Diamond Dust (worth 25,000 gp)",Material Components,General
Diamond Dust (worth 50 gp),Material Components,General
Diamond Dust (worth 500 gp),Material Components,General
"Diamond Dust (worth 5,000 gp)",Material Components,General
Forked Metal Rod,Material Components,General
"Forked Metal Rod, attuned to the Abyss",Material Components,General
"Forked Metal Rod, attuned to the Astral Plane",Material Components,General
"Forked Metal Rod, attuned to Elysium",Material Components,General
"Forked Metal Rod, attuned to the Ethereal Plane",Material Components,General
"Forked Metal Rod, attuned to Heaven",Material Components,General
"Forked Metal Rod, attuned to Hell",Material Components,General
"Forked Metal Rod, attuned to the Material Plane",Material Components,General
"Forked Metal Rod, attuned to the Negative Energy Plane",Material Components,General
"Forked Metal Rod, attuned to the Plane of Air",Material Components,General
"Forked Metal Rod, attuned to the Plane of Earth",Material Components,General
"Forked Metal Rod, attuned to the Plane of Fire",Material Components,General
"Forked Metal Rod, attuned to the Plane of Water",Material Components,General
"Forked Metal Rod, attuned to the Positive Energy Plane",Material Components,General
"Forked Metal Rod, attuned to the Shadow Plane",Material Components,General
"Powdered Diamond, Emerald, Ruby, and Sapphire Dust (worth 5,000 gp)",Material Components,General
Gold Dust (worth 25 gp),Material Components,General
Gold Dust (worth 50 gp),Material Components,General
"Herbs and Oils (worth 2,000 gp)",Material Components,General
"Herbs, Oils, and Incense (worth 1,000 gp)",Material Components,General
"Incense (worth 1,500 gp)",Material Components,General
Incense (worth 25 gp),Material Components,General
Incense (worth 250 gp),Material Components,General
Incense (worth 500 gp),Material Components,General
Ivory Plaque (worth 50 gp),Material Components,General
"Ivory Statuette of Self (worth 1,500 gp)",Material Components,General
"Jacinth (worth 1,000 gp)",Material Components,General
"Jade Circlet (worth 1,500 gp)",Material Components,General
Jade Dust (worth 10 gp),Material Components,General
Jade Dust (worth 25 gp),Material Components,General
Laboratory Equipment (costing 500 gp),Material Components,General
"Laboratory Supplies (worth 1,000 gp)",Material Components,General
Lead-Based Ink (worth 50 gp),Material Components,General
Miniature Ivory Door (worth 5 gp),Material Components,General
Miniature Platinum Sword (worth 250 gp),Material Components,General
"Oils (worth 1,000 gp)",Material Components,General
Ointment (worth 250 gp),Material Components,General
Onyx Gem (worth 25 gp),Material Components,General
Onyx Gem (worth 50 gp),Material Components,General
Opal (worth 500 gp),Material Components,General
Pair of Canine Statuettes (worth 50 gp),Material Components,General
Platinum Ring (worth 50 gp),Material Components,General
Polished Marble (worth 5 gp),Material Components,General
Powdered Amber (worth 500 gp),Material Components,General
Powdered Diamond (worth 200 gp),Material Components,General
Powdered Diamond (worth 400 gp),Material Components,General
"Powdered Diamond (worth 5,000 gp)",Material Components,General
"Powdered Diamond and Opal (worth 1,000 gp)",Material Components,General
"Powdered Diamond and Opal (worth 5,000 gp)",Material Components,General
"Powdered Opal (worth 5,000 gp)",Material Components,General
Powdered Ruby (worth 500 gp),Material Components,General
Powdered Silver (worth 25 gp),Material Components,General
Ruby Dust (worth 50 gp),Material Components,General
Ruby Dust (worth 500 gp),Material Components,General
"Sapphire (worth 1,000 gp)",Material Components,General
Set of 4 Pieces of Ivory (worth 50 gp each),Material Components,General
Set of Marked Bones (worth 25 gp),Material Components,General
Set of Minature Items (worth 15 gp),Material Components,General
Set of Prayer Beads (worth 500 gp),Material Components,General
Silver Dust (worth 25 gp),Material Components,General
"Silver Mirror (worth 1,000 gp)",Material Components,General
Silver Spoon (worth 5 gp),Material Components,General
Small Replica of Self (worth 5 gp),Material Components,General
Special Dust (worth 50 gp),Material Components,General
Tiny Reliquary (worth 500 gp),Material Components,General
Bit and Bridle,Mounts and Related Gear,General
"Dog, Guard",Mounts and Related Gear,General
"Dog, Riding",Mounts and Related Gear,General
Donkey,Mounts and Related Gear,General
Mule,Mounts and Related Gear,General
"Feed, Per Day",Mounts and Related Gear,General
"Horse, Heavy",Mounts and Related Gear,General
"Horse, Heavy (Combat Trained)",Mounts and Related Gear,General
"Horse, Light",Mounts and Related Gear,General
"Horse, Light (Combat Trained)",Mounts and Related Gear,General
Pony,Mounts and Related Gear,General
Pony (Combat Trained),Mounts and Related Gear,General
"Saddle, Military",Mounts and Related Gear,General
"Saddle, Pack",Mounts and Related Gear,General
"Saddle, Riding",Mounts and Related Gear,General
"Saddle, Exotic Military",Mounts and Related Gear,General
"Saddle, Exotic Pack",Mounts and Related Gear,General
"Saddle, Exotic Riding",Mounts and Related Gear,General
Saddlebags,Mounts and Related Gear,General
Arsenic,Poisons,General
Belladonna,Poisons,General
Black Adder Venom,Poisons,General
Black Lotus Extract,Poisons,General
Bloodroot,Poisons,General
Blue Whinnis,Poisons,General
Burnt Othur Fumes,Poisons,General
Dark Reaver Powder,Poisons,General
Deathblade,Poisons,General
Dragon Bile,Poisons,General
Drow Poison,Poisons,General
Giant Wasp Poison,Poisons,General
Greenblood Oil,Poisons,General
Hemlock,Poisons,General
Id Moss,Poisons,General
Insanity Mist,Poisons,General
King's Sleep,Poisons,General
Large Scorpion Venom,Poisons,General
Lich Dust,Poisons,General
Malyass Root Paste,Poisons,General
Medium Spider Venom,Poisons,General
Nightmare Vapor,Poisons,General
Nitharit,Poisons,General
Oil of Taggit,Poisons,General
Purple Worm Poison,Poisons,General
Sassone Leaf Residue,Poisons,General
Shadow Essence,Poisons,General
Small Centipede Poison,Poisons,General
Striped Toadstool,Poisons,General
Tears of Death,Poisons,General
Terinav Root,Poisons,General
Ungol Dust,Poisons,General
Wolfsbane,Poisons,General
Wyvern Poison,Poisons,General
Acid,Special Substances and Items,General
Alchemist's Fire,Special Substances and Items,General
Antitoxin,Special Substances and Items,General
Everburning Torch,Special Substances and Items,General
Holy Water,Special Substances and Items,General
Smokestick,Special Substances and Items,General
Sunrod,Special Substances and Items,General
Tanglefoot Bag,Special Substances and Items,General
Thunderstone,Special Substances and Items,General
Tindertwig,Special Substances and Items,General
Alchemist's Lab,Tools and Skill Kits,General
Artisan's Tools,Tools and Skill Kits,General
Climber's Kit,Tools and Skill Kits,General
Disguise Kit,Tools and Skill Kits,General
Healer's Kit,Tools and Skill Kits,General
Holly and Mistletoe,Tools and Skill Kits,General
Holy Symbol,Tools and Skill Kits,General
Wooden Holy Symbol,Tools and Skill Kits,General
Silver Holy Symbol,Tools and Skill Kits,General
Magnifying Glass,Tools and Skill Kits,General
Harpsichord,Tools and Skill Kits,General
Piano,Tools and Skill Kits,General
Pipe Organ,Tools and Skill Kits,General
Bells,Tools and Skill Kits,General
Chimes,Tools and Skill Kits,General
Drums,Tools and Skill Kits,General
Gong,Tools and Skill Kits,General
Fiddle,Tools and Skill Kits,General
Harp,Tools and Skill Kits,General
Lute,Tools and Skill Kits,General
Mandolin,Tools and Skill Kits,General
Flute,Tools and Skill Kits,General
Pan Pipes,Tools and Skill Kits,General
